row	column
33	137
37	139
38	138
30	129
31	132
33	133
31	135
32	136
33	134
33	131
21	49
22	49
35	137
37	135
22	50
21	47
32	128
23	50
23	51
31	133
32	131
33	129
35	136
22	51
34	136
31	128
38	139
23	52
21	48
32	133
35	134
34	135
30	130
34	138
21	45
32	135
32	134
32	137
34	131
32	130
23	53
29	125
23	49
32	138
36	139
35	135
34	132
37	138
22	48
30	126
31	127
30	132
30	127
33	138
34	133
30	125
21	46
29	124
31	131
31	129
39	139
39	138
31	134
33	132
31	136
33	136
34	134
33	135
36	135
30	131
34	137
30	128
31	130
32	132
36	134
20	43
33	139
36	136
22	47
29	123
33	130
24	56
34	139
21	41
24	55
32	127
31	126
20	31
32	129
35	133
22	46
24	54
31	125
33	128
22	52
33	140
24	57
23	54
28	120
20	44
20	56
29	122
30	124
38	137
20	30
34	130
23	71
20	55
23	69
22	45
22	63
36	132
20	41
20	40
23	70
21	59
35	138
36	137
19	31
22	62
20	37
29	126
32	139
35	139
27	85
21	64
20	38
21	50
22	61
23	72
22	44
20	42
21	44
29	127
23	68
27	86
35	132
22	67
21	63
37	136
22	66
21	62
21	61
31	137
20	29
24	79
27	84
23	67
21	60
22	64
24	78
26	67
28	85
30	133
21	65
20	45
22	65
21	66
22	68
24	77
20	28
24	80
34	140
33	141
28	84
29	128
21	58
21	27
37	137
28	83
27	68
20	39
20	27
32	140
36	138
27	83
33	142
23	66
19	32
23	21
27	87
19	27
24	58
28	82
28	81
23	55
21	43
31	138
24	75
20	57
21	42
22	69
35	131
20	58
28	70
30	134
24	81
21	67
24	76
28	86
26	63
27	67
22	70
30	135
24	59
35	151
28	80
26	66
27	88
22	60
27	69
26	62
23	73
23	74
28	79
31	139
19	33
27	145
28	78
20	46
22	71
27	70
23	56
32	141
27	146
42	168
27	66
27	144
21	26
43	169
22	72
19	22
22	53
41	167
44	169
27	89
42	169
27	65
26	61
28	77
28	87
19	23
23	65
45	169
27	147
43	168
18	31
18	27
36	154
22	73
34	149
28	76
27	90
26	65
26	64
37	164
24	74
26	1
49	172
27	72
25	61
23	75
27	73
28	88
42	167
18	28
27	116
31	161
28	74
46	169
27	76
28	73
18	21
28	75
21	74
21	69
44	170
24	82
36	156
27	74
38	164
27	75
31	140
32	142
21	57
44	168
48	162
35	155
45	170
20	21
27	82
27	71
21	73
47	162
35	156
36	155
27	80
44	171
18	32
27	77
19	36
35	153
19	35
36	157
35	154
45	171
25	84
34	154
34	155
21	71
43	170
35	157
27	91
34	156
21	72
37	156
25	85
39	164
45	174
46	170
27	115
34	153
27	155
50	172
43	171
43	167
27	156
22	74
27	154
33	155
47	169
21	68
48	168
33	154
27	153
27	81
33	153
38	158
25	83
38	163
34	157
37	157
19	34
38	165
37	163
25	82
32	154
39	163
33	156
36	158
37	158
24	60
32	153
28	154
27	152
34	150
32	155
33	152
47	168
28	153
46	174
31	153
28	155
31	154
30	154
32	156
32	152
46	171
47	170
31	155
44	174
45	168
29	154
33	157
30	153
29	153
35	158
34	151
35	152
29	155
40	164
31	152
28	72
40	163
39	159
26	86
28	152
24	73
30	155
27	151
33	151
19	21
28	156
30	152
34	158
29	152
34	152
31	156
48	169
32	151
23	63
30	156
25	86
32	157
29	156
27	148
31	151
21	70
28	151
26	85
49	168
46	162
31	157
30	151
29	151
39	165
38	159
33	158
46	168
36	163
24	5
47	171
32	150
41	163
30	157
26	87
28	71
49	169
44	167
32	158
37	159
19	37
27	150
27	114
30	137
26	84
33	150
27	149
31	150
27	157
28	150
47	174
48	170
28	157
35	183
31	141
29	157
44	179
27	92
29	150
28	146
30	150
26	88
47	163
29	160
41	164
28	147
36	159
32	149
23	64
35	159
23	62
31	158
50	168
23	5
26	89
28	145
50	167
22	17
44	173
44	172
30	158
46	163
31	149
33	149
28	148
34	159
48	163
22	75
22	4
29	129
23	4
48	171
28	149
45	172
25	60
33	159
24	4
23	61
30	149
45	179
40	165
49	170
29	149
50	169
49	163
19	56
22	5
19	55
50	170
32	159
45	163
28	144
18	33
43	172
45	173
43	173
25	87
48	174
22	59
49	173
32	148
31	159
42	164
42	163
26	117
46	172
23	76
23	17
33	148
26	130
40	160
22	21
26	132
49	167
27	78
32	143
26	118
22	18
45	167
43	174
46	179
31	148
29	158
51	168
45	162
44	163
46	175
43	163
41	165
50	163
32	145
26	119
20	66
29	148
39	160
32	144
22	19
30	148
30	159
29	130
32	147
47	172
46	173
26	120
47	175
26	131
45	175
26	133
50	173
18	26
28	158
51	167
22	15
43	164
37	160
26	83
26	121
49	174
49	171
44	175
48	175
23	57
38	160
28	126
26	122
22	76
42	166
27	127
27	126
32	146
27	119
27	122
20	67
27	128
27	123
22	22
27	113
27	130
27	125
37	162
26	127
31	144
27	124
27	79
27	129
31	145
48	172
26	129
27	131
27	117
27	106
28	127
46	167
26	126
33	147
42	165
52	168
27	121
47	179
31	147
27	118
50	174
30	136
43	161
27	120
27	132
45	178
50	171
21	17
45	180
42	161
43	175
29	159
27	105
36	160
51	163
41	166
39	182
44	180
36	162
33	160
23	6
29	147
34	160
52	163
30	147
44	161
47	173
49	175
28	123
43	166
24	6
21	20
27	133
32	160
22	20
28	124
25	81
35	160
46	180
24	1
26	128
28	125
26	134
26	123
18	22
24	61
26	82
30	160
25	88
19	41
28	121
28	132
38	162
28	122
22	58
48	167
44	162
47	167
34	162
20	65
27	143
23	60
28	143
52	167
26	2
55	171
22	6
35	162
28	131
41	161
28	159
44	178
27	134
30	138
46	178
28	142
53	168
31	142
31	160
44	164
22	16
26	125
39	162
26	124
28	133
23	58
23	20
51	174
47	180
18	34
28	128
19	57
27	142
51	169
31	143
44	176
27	107
26	81
29	132
27	141
29	133
45	176
48	173
27	104
30	143
28	134
27	135
48	179
23	3
42	180
43	179
28	129
43	165
48	180
46	176
28	141
29	131
27	140
25	80
52	169
43	176
45	164
31	146
50	178
28	130
55	172
56	172
26	90
43	180
27	136
56	171
25	1
21	6
47	176
21	56
27	139
28	135
25	3
47	178
32	161
22	79
36	183
51	171
25	59
29	146
27	137
22	57
26	135
27	108
44	177
53	169
27	138
50	175
53	167
49	181
30	146
20	59
48	176
29	134
23	19
44	166
43	162
28	140
26	91
43	177
45	177
26	136
28	136
22	54
25	5
29	135
25	89
26	137
49	180
22	77
45	166
43	178
27	103
24	83
23	13
53	171
18	41
23	2
39	161
48	164
40	161
40	162
24	2
54	171
24	3
46	177
21	15
38	183
22	12
46	166
54	172
52	171
48	181
47	164
28	137
50	180
28	139
23	18
47	177
27	112
28	138
47	181
24	62
50	166
30	161
54	167
30	139
19	54
50	164
36	161
23	59
38	161
17	22
48	177
46	181
37	184
47	166
54	173
48	178
49	176
51	164
51	170
49	179
49	177
50	179
37	161
51	173
45	181
33	161
34	161
27	102
25	2
36	184
38	184
27	95
49	164
29	136
37	183
39	183
46	164
21	51
42	162
52	164
22	56
29	137
24	93
23	77
20	47
27	111
23	16
30	142
26	138
21	12
41	162
27	109
51	172
44	181
39	184
53	164
23	7
29	138
51	166
53	172
40	183
44	165
30	144
35	184
52	172
40	184
54	169
24	92
29	139
24	94
22	7
41	181
35	161
43	181
25	90
23	14
49	178
41	183
52	174
45	165
30	145
52	166
54	170
22	78
27	110
22	11
41	184
24	95
19	38
29	142
21	11
54	164
17	28
22	55
42	183
30	140
42	184
52	170
53	166
17	27
19	8
58	165
53	170
46	165
30	141
54	166
26	80
52	173
53	173
22	13
56	166
55	164
29	140
55	166
21	55
43	183
24	96
24	15
29	145
47	165
20	12
43	184
42	181
27	101
27	93
27	94
29	143
18	40
19	40
20	54
44	183
40	182
29	141
42	182
44	182
46	182
20	11
34	184
19	13
24	97
41	182
25	4
43	182
45	182
19	12
47	182
29	144
48	182
48	165
18	13
45	183
33	184
20	7
25	58
19	58
20	13
27	100
19	39
24	63
26	92
23	15
46	183
48	166
27	98
55	170
50	165
49	165
24	72
21	13
18	35
21	52
24	16
23	78
20	64
21	7
27	97
25	91
22	14
27	96
47	183
27	99
26	93
49	166
51	175
18	9
20	14
19	11
53	174
38	185
35	185
55	165
54	165
53	165
20	63
36	185
21	54
52	165
18	11
25	92
34	185
20	62
24	19
56	165
21	10
25	79
21	14
33	185
24	91
18	36
32	185
20	61
51	165
20	10
24	18
28	185
57	165
19	9
31	185
21	53
18	10
20	53
52	175
21	8
25	93
17	35
22	23
23	79
20	60
29	185
30	185
22	8
26	94
17	34
17	33
17	32
24	64
19	53
18	39
20	8
22	25
24	89
24	90
32	184
19	10
19	42
26	95
20	9
28	186
25	94
31	186
29	186
30	186
20	51
24	17
17	29
32	186
27	186
22	10
18	12
20	52
27	187
23	80
19	59
26	96
28	187
24	70
25	78
37	185
20	48
18	42
24	20
26	187
18	37
24	88
20	50
50	176
51	176
19	60
20	49
24	71
24	65
25	95
21	9
26	4
19	47
22	26
18	38
24	87
26	3
22	24
19	49
24	84
23	81
33	186
25	77
27	1
17	30
50	177
19	48
24	66
51	177
23	82
19	52
21	25
25	76
19	50
25	96
19	45
19	46
21	21
24	69
19	51
26	97
23	83
24	68
24	86
17	31
19	43
23	84
24	67
25	75
19	44
24	85
17	23
25	97
26	98
27	2
21	24
18	46
18	43
18	45
21	22
25	71
25	72
21	23
34	186
25	98
25	70
18	23
18	44
26	99
17	26
25	74
25	69
25	73
27	3
25	99
26	100
25	100
26	101
25	101
18	25
26	102
17	24
18	24
25	102
26	116
26	103
25	103
26	104
17	25
25	104
26	115
26	105
26	106
25	105
25	106
26	114
26	109
26	112
26	113
26	107
26	108
26	110
26	111
25	107
25	109
25	108
45	143
40	139
50	154
42	138
46	146
50	156
54	153
48	151
49	155
44	141
47	149
47	150
43	146
51	154
52	152
36	133
45	144
56	158
46	145
45	147
46	149
47	148
46	148
32	120
56	155
35	126
46	152
45	145
47	147
55	157
59	158
39	134
46	147
53	156
49	151
36	128
57	159
37	134
50	153
47	153
48	154
56	157
51	155
52	155
53	153
58	158
33	122
52	154
49	153
32	121
58	157
34	124
60	160
51	152
59	161
59	159
57	156
57	157
55	154
57	158
52	153
58	160
53	154
28	119
56	156
60	161
58	159
51	156
51	153
52	156
50	155
37	131
34	125
49	152
32	122
